NO;NO2;NOX
21.1;22.7;43.9
37;24.5;61.5
17.7;19.5;37.2
8.9;20.1;29
6.9;15.1;22
3.4;8.6;12
2.6;6.9;9.5
1.7;5.9;7.5
3.1;12.4;15.5
3.4;11.6;15
11;24.2;35.2
8.3;22;30.3
4.7;21.8;26.5
3.7;23.2;26.9
2.1;15.9;18
1.5;15.2;16.8
2.4;21.1;23.5
2.1;17.2;19.4
3.9;16;19.8
1.7;11.8;13.5
4.2;13.4;17.6
1.9;12.2;14.2
2.6;15.5;18.2
2.6;14.1;16.7
12.2;23.8;36.1
33.8;26.8;60.6
24;22.5;46.6
14.5;16.3;30.7
6.7;12.6;19.3
4.2;10.1;14.3
1.5;5.7;7.2
2.4;5.3;7.7
2.2;4.6;6.7
2.2;3.7;5.9
1.8;3.7;5.5
4;10.5;14.5
4.2;20;24.2
3.3;16.4;19.6
2.9;15;17.9
1.7;10.1;11.8
2;12;14
2.3;14.5;16.7
2.1;15.1;17.1
4.5;16.8;21.3
5.1;16.2;21.2
7.2;19;26.2
3;12.6;15.6
3.5;11.5;15
53.5;24.6;78.1
48.3;25.1;73.4
40.2;26;66.2
23.5;27.3;50.8
10.2;16.3;26.5
4.4;8.4;12.8
5.7;8.1;13.8
2.8;7.2;10
2.3;5.2;7.4
1.8;4.3;6.1
2.2;5.3;7.6
2.5;6.7;9.2
1.7;8.3;10
1.7;7.9;9.5
1.2;6.7;7.9
1.2;6.5;7.7
1.3;3.5;4.8
0.9;3.2;4.1
1.2;2.9;4.1
1;3.1;4.2
1.3;5.5;6.8
0.9;3.7;4.7
1;2;3
0.9;3.2;4.1
1.1;5.8;6.9
6.1;20.5;26.6
10.9;23.9;34.9
9.6;17.7;27.3
9.2;16.7;26
4.2;7.3;11.5
1.9;5;6.9
2.2;5.2;7.4
2;4.1;6.1
1.8;3.2;5
2.1;3.3;5.4
1.8;3.4;5.2
1.7;6.5;8.3
1.3;7.3;8.6
1.3;7.6;8.8
1.4;11.5;12.9
1.4;6.7;8.1
1.1;5.2;6.3
1;5;6
1.1;3.5;4.6
1.3;2.4;3.7
0.8;2.1;2.9
1.2;6.1;7.3
1.8;9.1;10.9
2.8;13.2;16
8.4;19.9;28.3
9.8;17.2;27.1
1.3;2.6;3.9
0.9;1.5;2.4
1;1.2;2.1
0.9;1.1;2
0.9;0.9;1.8
1.2;3;4.2
1.8;3;4.8
1.6;2;3.6
1.9;3.4;5.3
1.5;4.9;6.4
2.8;6.6;9.4
1.1;3.9;5
1.4;6.2;7.6
0.9;5.1;5.9
1.3;5.4;6.7
0.8;3.2;4
1;2.3;3.3
1;0.4;1.4
1.2;0.6;1.7
0.4;1.3;1.7
1.2;3.5;4.7
2;12.6;14.7
4;18.8;22.8
17.5;30;47.6
7.5;15.5;23
3.1;12.3;15.3
3.6;15.9;19.5
3.5;10.6;14.1
3.3;7.5;10.8
3.8;6.4;10.2
3.2;5.5;8.6
2.5;5.6;8.2
3.3;7.8;11.1
3.2;9.9;13.1
NA;NA;NA
2.1;8.9;11
1.7;5.5;7.2
1.7;8.3;10
2;10.3;12.4
2.2;7.3;9.5
1.7;6.4;8
0.8;1.7;2.5
0.8;1.3;2.2
2;9;11
3.8;17.8;21.6
12;23.8;35.8
25;25.9;50.9
19.8;22.1;41.9
14.9;18.1;33.1
NA;NA;NA
NA;NA;NA
5.9;12.4;18.3
4.2;6.3;10.5
3.7;5.8;9.5
4.5;5;9.6
4.2;4.3;8.5
3.8;3.4;7.2
3.7;4.6;8.3
4.2;9.7;13.9
4.9;10.8;15.7
6.2;13.1;19.3
2.9;7.9;10.9
2.7;9.8;12.5
2.4;8.5;10.8
2.2;10.6;12.8
3.5;14.7;18.2
3.5;12.9;16.4
2.2;9.9;12.1
2.3;6.4;8.7
12.3;16.1;28.4
30;21.1;51.1
34.4;23.7;58
24.6;23;47.6
10.3;19.8;30
4.8;12;16.8
12.9;16.1;29
11;15.4;26.4
14.1;20;34.1
9.2;13.5;22.7
6;12.4;18.4
5.3;15.1;20.4
5.3;16.1;21.4
6;20.8;26.8
9.1;25.7;34.8
7.5;22.4;29.9
5.1;20.2;25.4
1.9;11.2;13.1
2.1;11;13.1
2.1;6.2;8.2
1.3;7.2;8.6
2.5;5.7;8.2
3.6;7.8;11.5
1.8;8.8;10.6
3.3;12.3;15.6
25.5;24.8;50.3
36;28.9;65
17.2;17.7;34.9
5.2;4.9;10.2
3.4;2.8;6.2
2.1;2;4.1
2.2;2.7;4.9
2.9;2.4;5.3
2.2;2.8;5
4.5;9.4;13.9
4.7;7.4;12.1
2.8;9.1;11.9
3.1;11.5;14.6
2.8;13.2;16.1
3.6;10.6;14.2
2.8;11.3;14.1
2.2;15.9;18.1
1.4;9.4;10.8
1.1;4.3;5.4
0.7;1.7;2.4
3.4;6.8;10.1
2.9;10.3;13.2
3.5;12.8;16.3
25;27.1;52.1
19.7;22.2;41.9
32.9;23.3;56.3
14.2;16.9;31.1
5.9;5.9;11.8
3.1;2.6;5.7
2.7;2.3;4.9
3.1;2.1;5.1
3.7;3.3;7
2.9;2.2;5.1
2.8;2.6;5.4
2.6;3.4;6
2.3;3.1;5.4
2.8;4.1;6.9
2.8;5.2;8.1
3.7;7.3;11
3.1;6.3;9.4
2.4;4.9;7.4
1.6;1.8;3.4
1.8;2.4;4.2
0.9;1.5;2.5
1.1;2.2;3.4
0.9;2.1;3
4.2;9.7;13.9
27.4;15.4;42.8
59.8;19;78.9
37.1;19.1;56.1
10.8;8.4;19.2
4.1;2.3;6.4
3.7;2.1;5.7
3.8;2.7;6.4
4;2.8;6.8
3.3;1.8;5.2
3.6;2.3;5.9
2.3;1.3;3.6
2.5;1.1;3.6
2.8;3;5.8
2.8;5.3;8.1
3.1;5.6;8.7
6.5;9.3;15.8
4.9;10.2;15.1
2.1;4.6;6.6
1.9;3.8;5.7
2.4;5.8;8.2
3.4;5;8.4
2.5;4.9;7.4
8.2;12.2;20.4
3.8;10.2;14
9.4;12.7;22.1
15.7;12.8;28.5
14.5;9.7;24.2
9.1;10;19.1
4.8;3.9;8.7
1;0.3;1.3
1.4;0.3;1.6
1.4;0.3;1.7
1.3;0.4;1.7
3.2;1.4;4.6
2.6;1.4;4
1.5;0.8;2.3
1.4;1.6;3
1.2;4.2;5.4
1.6;4.1;5.8
1.5;2.5;4
1.5;3.4;4.9
1;3;4
1.5;3.9;5.3
2.6;6.7;9.3
1.7;7.6;9.3
1.2;4.1;5.3
6.8;14.6;21.4
6.8;12.6;19.4
7.6;15.3;22.9
14.5;13.3;27.7
7.2;8.7;15.9
6.7;9.1;15.9
7.9;8;15.9
7;7.1;14.2
5;5;10
5.6;3.9;9.6
5.9;5.9;11.8
4.5;3.2;7.7
5.2;6.9;12.1
4.3;6;10.3
2.9;6.5;9.4
2.3;9;11.3
3.5;17.4;20.8
5.8;19.8;25.5
2.1;9.6;11.7
1.7;6.9;8.6
1.2;1.5;2.7
0.9;0.1;1
1.9;0.6;2.5
NA;NA;NA
1.4;0.8;2.2
2.6;6;8.6
9.2;18.9;28.1
17.1;21.8;38.9
25.3;21.5;46.8
25.8;21;46.8
8.5;8.6;17.1
4.8;4.5;9.3
4.3;3.4;7.7
4.6;4;8.6
3.5;2.3;5.8
3.1;3.2;6.3
3.3;3.6;6.9
4.2;4.1;8.3
2.6;5;7.5
3.2;7;10.1
2.8;6.5;9.3
2.5;7;9.5
2.7;7.9;10.6
1.9;5.4;7.3
2.8;10.4;13.1
0.9;2.7;3.6
1.3;3.5;4.8
3.2;8.3;11.5
3.4;11;14.4
3.4;13;16.3
21.1;20;41.1
96.5;28.2;124.7
46.9;30.6;77.4
6;6.2;12.2
5.8;5.8;11.6
4.6;4.3;8.9
4.2;2.8;7
4.1;5.1;9.2
4.2;6.8;11
4.6;8.6;13.2
9.2;14.6;23.7
5.7;15.5;21.3
6.5;14.2;20.7
4.9;16.1;21
8.1;20.7;28.8
5;12.8;17.7
2.2;6.6;8.8
3.7;16.1;19.7
4.5;16.4;20.9
2.5;10.1;12.6
0.8;1.7;2.5
0.8;2.5;3.3
1.7;5.4;7.1
2.4;7.8;10.1
11.4;20.1;31.6
21.4;19.2;40.6
23.9;18.6;42.5
7.6;9;16.5
2.1;2.8;4.9
1.6;1.7;3.3
1.9;1.7;3.7
1.6;0.8;2.4
1.3;0.2;1.4
1.4;0.2;1.6
0.8;0.6;1.5
0.9;0.2;1.1
2;6;7.9
2.2;6.3;8.5
1.5;5.9;7.4
1.2;8;9.3
1.6;8.9;10.5
1.9;10.4;12.3
0.5;2.2;2.7
1.2;5.7;6.8
1.6;9.7;11.3
1.1;7.3;8.5
1.2;3.4;4.6
1.4;6;7.4
4.3;9.5;13.8
10.6;12.3;22.9
14.1;13.5;27.6
7.5;8.7;16.2
3.6;3.7;7.3
1.7;0.9;2.6
1.3;0;1.3
NA;NA;NA
NA;NA;NA
1.5;0;1.5
NA;NA;NA
1.4;0.2;1.7
1.3;0.9;2.3
1.9;6.8;8.7
1.6;4.4;6
1.8;6.6;8.3
1.6;5.7;7.3
2.9;12.6;15.4
3.3;11.7;15
1.3;5.2;6.5
1.2;5.2;6.4
1.6;6.6;8.2
1.2;5.6;6.9
2.5;8.3;10.8
16.4;14.3;30.7
33.7;15.8;49.5
23.4;15.8;39.1
11;11.8;22.8
7.5;8.7;16.2
5.3;6.1;11.4
3.5;2.9;6.4
3;2.6;5.7
2.6;2.4;4.9
1.7;1.3;3
2.1;0.4;2.5
1.6;1.2;2.9
2.6;4;6.5
2.3;7.3;9.5
1.9;6.1;8
5.7;14.1;19.8
3.8;14.6;18.3
4.1;15.4;19.5
3.1;4.5;7.6
0.8;1;1.8
0.9;2.6;3.6
1.9;4;6
1.1;1.9;3
2.8;5.4;8.3
1.5;4.3;5.8
4.4;8.6;13
7;7.3;14.2
1.7;1.2;2.9
1.4;0.1;1.4
1.3;0.2;1.5
1.4;1.2;2.6
1.2;0.2;1.4
1.5;0.8;2.2
1.3;1.1;2.5
1.1;0.1;1.2
NA;NA;NA
1.3;1.2;2.5
1.1;3;4.1
0.9;2.8;3.7
1.3;2.1;3.4
1.3;4.4;5.7
1.4;5.1;6.6
1.7;6.6;8.3
1.3;4.2;5.5
0.5;0.4;0.9
0.8;1.1;1.8
2.3;8.7;11
4.1;13.4;17.5
36.9;28.5;65.4
77.2;36.8;114
39.2;32;71.2
11.2;16.2;27.4
6.7;12.4;19.1
NA;NA;NA
NA;NA;NA
4.3;6.1;10.3
3.6;6.2;9.9
3.1;4.5;7.6
3.1;3.6;6.7
2.2;3.5;5.7
2.2;5.8;8
3.6;14.9;18.5
3.1;11.3;14.4
4.5;10.2;14.7
1.8;6.2;7.9
1.8;7.2;8.9
1.5;5.1;6.6
3.4;14.5;17.9
4.1;15.1;19.3
8.1;13.9;22
5.8;11.1;16.9
6;13.2;19.1
15.4;22.1;37.5
30.5;24;54.5
35.9;20.8;56.7
8.8;8.6;17.4
4.7;5.9;10.6
3.2;5.1;8.3
3;3.1;6.1
3.2;3.2;6.4
3.9;3.2;7
2.5;2.4;4.9
1.9;1.3;3.2
3.1;3.7;6.8
2.3;4.4;6.7
1.2;6;7.2
1.2;5.2;6.3
2.5;6.8;9.3
1.7;5.4;7.1
2.1;11.1;13.1
1.7;10.5;12.1
1.9;11.7;13.6
2.3;11.5;13.8
1.4;11.6;12.9
3;12.5;15.5
7.4;18.8;26.2
9.2;20.2;29.4
51.9;26.8;78.7
22.3;20.5;42.8
18.7;17.2;35.9
6.9;12.6;19.5
3.5;5.8;9.3
3.3;4.9;8.2
3.3;5.2;8.5
2.4;3.3;5.8
2.6;2.8;5.4
2.7;4.8;7.5
2.7;6.7;9.5
2.5;4.4;6.9
2.1;9.8;11.9
2.1;7.9;10
1.9;9.8;11.7
2.1;15;17.1
1.6;9.9;11.5
3.4;13.2;16.6
1.9;8.3;10.3
2;9.6;11.6
2.5;16.3;18.9
2.1;10.4;12.6
7.7;16.7;24.5
29.9;25.1;55
62;25.8;87.8
55.5;28.9;84.4
24.2;22.9;47.2
8.9;12.9;21.8
5.5;10.5;16
4.2;11.5;15.7
2.9;8.9;11.8
2.4;6.5;8.9
3.1;6.6;9.7
3;5.8;8.9
3.5;10.2;13.7
3.3;15.8;19.1
3.5;17.5;21.1
4.3;12.4;16.7
2.3;11.1;13.4
2;12.2;14.2
2.6;13.1;15.7
7.3;17;24.3
5.2;16.3;21.5
2.9;8.1;10.9
5.1;12.2;17.3
2;8.9;10.9
1.9;7.5;9.4
17.5;22.1;39.6
20.9;30.9;51.9
13.5;24.5;38.1
5.6;13.5;19
4.1;11.2;15.3
4.2;12;16.2
4.1;9.4;13.6
3.8;7.3;11.1
3.8;6.5;10.2
3.6;6.7;10.4
2.9;6.5;9.4
2.8;8.3;11.2
3.3;11.3;14.6
3.4;17.4;20.8
2.9;18.3;21.2
1.8;10.4;12.3
1.9;12.4;14.2
1.5;11.5;13
1.5;9.3;10.8
1.7;10.2;11.9
1.2;8.1;9.2
2;10.3;12.3
3;9.1;12.1
7.7;23.2;30.9
38.3;33.3;71.5
51;33.1;84.1
26.3;28.9;55.2
8.2;14.9;23.1
3.5;7.9;11.4
2.2;3.6;5.9
1.9;3.5;5.4
3.7;5.7;9.4
2.1;3.8;6
3.1;5.9;9
2.3;3.9;6.2
2;4.7;6.7
1.9;6.4;8.2
2.1;8.5;10.6
1.8;8.9;10.7
1.9;11.3;13.2
2.2;13.5;15.8
1.6;10.2;11.8
1.4;9.9;11.4
2.2;8.9;11.1
1.9;9.2;11.1
1.6;10.3;11.9
1.5;7.9;9.5
1.6;11;12.6
6.6;22.2;28.7
8.7;16.1;24.7
13.8;17.4;31.1
15.7;19.1;34.8
6.5;9.7;16.3
1.6;2.3;3.9
1.3;0.4;1.7
1.8;2.4;4.3
2.7;5;7.7
2.5;3.3;5.8
2.2;2.7;4.9
2.1;1.9;4
1.2;2.7;3.8
1.8;3.5;5.2
1.9;4.3;6.2
2.6;4.5;7.1
1.6;5.9;7.5
2.6;10.3;13
3.4;13.7;17.1
3.8;13.4;17.1
3.9;13;17
2.9;13.2;16.1
2.8;11;13.8
5.8;15.1;20.9
42.5;22;64.5
60.6;25.7;86.3
52.5;26.2;78.6
22.2;18.2;40.3
5.1;3.6;8.8
5.4;3.7;9.2
4;2.8;6.9
4.9;3.4;8.3
3.3;1.3;4.5
3.5;3.6;7
5;5.6;10.6
4.9;5.6;10.4
3.5;7;10.5
3.4;9.5;12.9
3.5;12.5;16
6.1;12.5;18.7
3.9;8.9;12.8
2.7;10.2;12.8
2.6;13.3;15.9
3.2;12;15.2
2.5;8.2;10.7
1.8;8.9;10.7
2.5;13.2;15.7
NA;NA;NA
NA;NA;NA
NA;NA;NA
30.4;18;48.5
39.1;21.6;60.7
40.9;25.2;66
17.4;17.5;34.9
13;10.9;23.9
12.2;11.3;23.5
7.3;8.2;15.5
4.7;7.3;12
8.2;11.8;20
5.2;5.3;10.5
7.5;9.1;16.6
8.5;15;23.4
13.5;17.2;30.8
17.3;17.8;35.1
12.6;17.3;29.8
15.3;17;32.3
10.2;15.9;26.1
4.2;14.5;18.7
3.9;11.9;15.7
4.1;12.5;16.6
3.1;9.6;12.7
10.5;12.8;23.3
19.7;13.4;33.1
22.9;14;36.9
14.3;10.4;24.8
24.5;16.9;41.4
16;14.4;30.5
9.9;12.7;22.7
5.5;9.6;15.1
3.4;6;9.4
5.5;8.2;13.7
4.5;6.3;10.9
5.3;11.2;16.5
7.2;14.5;21.7
8;18.8;26.8
13.3;23.6;36.9
4.3;11.3;15.5
2.6;8.4;11
2.9;9.9;12.7
2.8;8.4;11.2
8.1;13;21.2
2.1;5.4;7.5
1.7;1.8;3.5
1.4;2;3.4
1;2.8;3.8
5.5;8.9;14.4
7.9;12.9;20.7
24.5;18.6;43.1
30.1;20.1;50.2
26.5;20;46.5
13.8;16.3;30
7.6;8.7;16.3
5.9;5.5;11.4
6.4;6.6;12.9
6.2;5.2;11.4
7.5;6;13.5
6.9;6.9;13.9
8.9;8.4;17.2
9.3;9.7;18.9
11.6;11.8;23.4
13.6;15;28.6
7.8;7;14.8
5.1;9.1;14.1
22.4;18.1;40.5
24.1;14.9;39
22.6;15.1;37.7
19.9;15.9;35.8
27;15;42
25;14.2;39.2
33.8;15.6;49.4
53.2;17.2;70.4
99.3;20.8;120.1
86.7;31.9;118.6
38.1;38.6;76.7
11.4;12.8;24.3
9.6;10.9;20.5
4.6;6.7;11.3
2.7;3;5.7
3.3;6.4;9.6
4.2;9.1;13.3
3.2;7.6;10.8
2.9;5.5;8.4
3.4;10.2;13.6
2.6;15.9;18.5
2.1;13;15.1
2.1;12.9;15
1.6;15;16.5
2.5;18.9;21.4
1.8;15.9;17.7
1.6;11.8;13.3
1.1;8;9.1
2.5;9.1;11.6
1.2;4.9;6.1
2.4;13.3;15.7
6.9;19;25.9
29.2;23.6;52.8
21.7;20.6;42.3
8.3;11.6;19.9
5.7;9.7;15.5
4.2;7.8;12
2;4.4;6.3
2;6.2;8.2
2.3;6.9;9.1
3.4;6.6;10
2.8;4.4;7.2
2.2;5.7;7.9
2.1;8.4;10.6
2.4;14.4;16.7
2.9;16.9;19.7
3.1;14.5;17.7
2.5;13.5;16
2;14.2;16.2
1.7;6.8;8.5
4;20.3;24.3
1.6;8.3;9.8
1.8;5.8;7.6
1.6;7.5;9.1
3;8.8;11.8
1.7;6.1;7.8
2.8;8.5;11.3
7.7;10.7;18.4
5.6;8;13.6
1.7;1.9;3.5
1.4;0.1;1.5
1.6;0.2;1.8
1.4;0.1;1.5
1.7;0.1;1.8
1.6;0.4;2
1.7;0.5;2.2
2.3;3.2;5.5
1.1;2;3.2
1.3;6.6;7.9
1.3;7.8;9.1
1.2;9.7;10.9
2;9.8;11.9
1.5;10;11.5
1.5;4.7;6.2
1.1;1.8;2.9
2.8;4.6;7.5
1.2;3.4;4.7
1.5;2.4;3.9
5.4;9.4;14.8
22.3;22;44.3
38.1;24.4;62.5
12.8;12.7;25.5
5.3;4.9;10.1
5.3;4.7;10
4.9;4.4;9.3
5.4;7.9;13.3
NA;NA;NA
NA;NA;NA
4.6;6.6;11.3
4.7;7.4;12.1
4.5;6.8;11.3
6.6;12.2;18.8
12.9;19.5;32.4
6.1;16.7;22.8
2.4;9.1;11.5
3.2;12.2;15.4
1.7;5.4;7.1
2.9;9;11.9
1.9;10;11.9
1.4;3.3;4.7
1.7;7.4;9.1
3.3;14.2;17.5
5.3;16.3;21.6
28.4;29.9;58.3
26.6;27.5;54.1
29;28.3;57.3
10.9;13.4;24.3
5.7;6.6;12.2
5.9;5.1;11
4.9;4.4;9.3
5.2;4.3;9.5
4.7;4.1;8.8
5.2;4.6;9.8
6.3;6.2;12.5
6.3;7;13.3
6.4;11;17.4
7.2;16;23.2
4.7;14.6;19.3
3.6;12.6;16.1
3.8;14.1;17.8
2.7;9.6;12.3
2.3;10.6;12.9
2.9;14.2;17.1
2;12.3;14.3
2.8;14.6;17.4
5.5;11.7;17.2
11.1;13.1;24.2
74.1;23.1;97.2
86.9;26.3;113.1
68.1;29.6;97.7
40.6;30.3;70.9
43.9;40.7;84.6
11.7;18.2;29.9
8.3;11.8;20.1
5.6;8;13.6
9.7;17.7;27.4
6.6;17.8;24.3
4.5;17.2;21.7
7;21.4;28.4
6.5;23.6;30.1
8.1;24.2;32.3
12.2;28.4;40.6
35.9;31.3;67.2
36.1;31.5;67.6
40;29.7;69.7
21.1;28.6;49.7
30.5;28.1;58.6
29.9;26.4;56.3
26.5;22.9;49.4
33.8;20.9;54.7
40.2;23.7;63.9
83.7;26.2;109.9
113.9;29.8;143.7
78.4;31.6;110
41;29.9;70.9
15.9;22.6;38.4
10;14.2;24.3
7.2;9;16.2
6.8;6.8;13.6
5;7.1;12.1
5.2;10.2;15.5
6.8;18.9;25.7
6.8;21.1;28
7;20.3;27.3
6.7;17;23.8
3.3;19.3;22.6
12.9;26.2;39.1
5.6;19.7;25.4
13.6;25.9;39.5
2.1;10.4;12.5
3.5;12.6;16
2;14;16
1.5;5.6;7.1
0.8;1.3;2.1
1.1;2.8;3.9
4.6;11.4;15.9
7.2;13.8;21
6.7;13.2;19.9
10.3;15.2;25.5
15.5;14.6;30.1
13.9;12.6;26.4
9.4;12.3;21.8
4.3;5.8;10.2
3.7;2.2;5.9
3.3;2.3;5.6
3.3;2.1;5.4
3;1.6;4.7
2.7;3.1;5.7
5.4;8.2;13.5
4.6;12.7;17.2
4;11.7;15.7
9.5;17.2;26.7
23;20.5;43.4
19;17.4;36.4
7.5;13.1;20.5
4.8;7.4;12.2
4.7;8.8;13.5
4;6.7;10.8
6.3;8.8;15.1
21.3;13.4;34.7
24.9;13.1;37.9
37.3;16.4;53.7
27.1;13.6;40.7
15.6;14.5;30.2
13.6;16.8;30.4
9.9;13.8;23.7
11.3;12.3;23.6
11.4;13.7;25.1
7.9;13.3;21.2
6.1;6.8;12.9
3.6;3.8;7.4
3.5;7.4;10.9
5.1;11.5;16.7
13.2;23.8;37
18.7;21.9;40.6
32.1;23.1;55.2
6.8;13.1;19.9
19.7;20.9;40.6
6.4;14.5;20.9
21.5;19.3;40.9
3.9;8.1;12
0.9;2.4;3.3
1.7;8.5;10.2
1.7;7.8;9.5
13;14.3;27.3
11.8;15.1;26.9
10.2;14.7;24.8
7.1;9.8;16.9
5.2;5.6;10.8
5.7;5.3;11
3.4;1.4;4.8
5.1;3.6;8.7
3.8;4;7.8
3.1;3.1;6.2
1.5;1.8;3.4
1.8;1.8;3.6
1.8;3.7;5.6
3.3;7.5;10.9
8;17;25
12.3;16.5;28.8
22.4;16.9;39.3
5.2;10.6;15.8
6.6;13.8;20.4
13.5;13.4;27
4.9;8.3;13.2
3.2;8.1;11.3
10;10;20
32.3;14.9;47.2
48.4;17.6;66
30.6;16.1;46.7
19.1;15.1;34.2
NA;NA;NA
9.3;8.9;18.2
NA;NA;NA
NA;NA;NA
12.1;8.2;20.3
12.8;9.6;22.4
14.3;9.5;23.7
10.5;7.7;18.2
13.9;12.8;26.8
14.2;15.1;29.3
8.8;9.3;18.1
9.8;12.9;22.7
8.5;9.7;18.1
7.4;12.1;19.4
6.8;9.1;15.9
7.6;6.8;14.4
7.9;8;15.8
6.7;7.5;14.1
5.8;7.1;12.9
7.5;7.7;15.2
11.3;12.2;23.5
20.7;19.2;39.9
26.6;19.9;46.6
20.9;14.9;35.8
16.9;10.5;27.4
15.2;8.9;24.1
12.5;6.4;18.9
14.2;8;22.3
13.3;8.4;21.7
12.1;6.3;18.5
11.7;5.7;17.5
19.5;11.8;31.3
12.6;12.4;25
10.4;14.2;24.6
7.9;12;20
9.7;8.5;18.2
10.5;9.8;20.3
9;6.8;15.7
6.1;7;13.1
7.4;13.1;20.5
5.6;4.5;10.1
5.4;3.4;8.8
6.4;8.1;14.5
13.2;13.9;27.1
26.6;21.5;48.1
66.5;28;94.5
53.8;29;82.8
20.5;16.6;37.1
13.1;8.8;21.8
11.4;7;18.4
11.9;7.8;19.6
9.8;6.9;16.7
11;8.7;19.7
15;12.9;28
10.5;10.4;21
13.1;12.2;25.3
11.5;14;25.5
12.6;19.6;32.2
15.8;23.4;39.2
12.1;17;29.1
12.5;21.7;34.3
10.8;20;30.8
7.9;12;19.9
6.3;9.8;16.1
6;8.6;14.7
6;7.5;13.5
6.3;5.2;11.5
10.5;10.3;20.8
20.7;19.5;40.2
31.1;20.5;51.6
44.2;20.9;65.2
25.3;16.9;42.1
14.3;9.5;23.8
14.4;7.8;22.3
12.8;7.1;19.9
11.9;6.3;18.3
11.9;6;17.9
12.7;7.2;19.8
11.6;7;18.5
11.8;8.5;20.3
11.4;10.6;22.1
10.5;14.8;25.3
13;21.4;34.4
10.8;16.8;27.6
20.3;21.2;41.4
9.7;9.8;19.5
13.6;16.8;30.3
6.1;5.6;11.7
5.7;3.5;9.2
11.1;10.6;21.7
14.2;16.6;30.7
13.5;13.9;27.3
73.5;20.9;94.3
64.9;21.8;86.6
73.7;24.3;98
68.3;26.5;94.8
17.1;13.6;30.7
14.8;10.1;24.9
15.7;12.6;28.3
10.5;5;15.5
15.1;8.8;23.9
12.4;9.5;22
14.5;11.9;26.4
12.4;15.2;27.7
12.1;18.1;30.3
12.2;19.5;31.7
19.6;29.1;48.6
8.4;12.7;21.1
7.7;9.9;17.6
6.7;8.9;15.6
6;4.5;10.5
7.7;6.5;14.2
5.8;1.6;7.4
5.8;2.8;8.6
5.7;3.5;9.1
7;7.1;14.1
10.1;13.7;23.8
20.4;20;40.4
10;11.6;21.6
13;11.4;24.4
10.4;9.2;19.6
11.5;8;19.4
11.2;5.8;17
8.8;3.4;12.1
10.7;3.8;14.6
8.9;2.9;11.8
8.1;2.8;11
8.5;3.4;12
8.5;4.6;13.1
8.2;7.6;15.8
11;12.9;23.9
16.1;18;34.1
10.9;13.3;24.1
12.6;14.7;27.3
10.4;12.9;23.3
6.7;7.9;14.6
9.2;9.3;18.4
9.8;9.8;19.6
11;10.2;21.2
6.9;7;13.9
12.6;9.8;22.4
16.8;10.9;27.7
11.2;5;16.2
9.9;4.4;14.3
8.8;4.8;13.6
8.4;4.3;12.7
7.5;1.7;9.2
6.9;1.8;8.7
7.9;1.8;9.7
6.3;1.2;7.5
8.2;3.2;11.4
7.6;3;10.6
6.7;4.4;11.1
8.3;10;18.4
8.9;7.9;16.8
8.3;10.6;19
11.1;14.1;25.2
9.6;12.3;21.9
7.7;9.6;17.3
11.3;12;23.3
7.2;9.9;17.1
8.3;12.3;20.7
15.6;13.8;29.3
27.5;14.9;42.4
45.4;17.4;62.9
78.8;20.2;99
69.1;20.5;89.6
38.5;22.9;61.4
27.7;21;48.7
17.3;22.9;40.3
NA;NA;NA
NA;NA;NA
6.6;8.9;15.5
4.5;7.8;12.2
5.2;12.1;17.3
5.2;12.9;18
5.7;17;22.6
5.3;21.6;26.9
4.3;19.6;23.9
4.1;24.4;28.6
2.8;18.1;20.9
6.3;22.3;28.6
5.6;21.7;27.3
5.8;17.8;23.6
0.3;5.9;6.2
0.5;7;7.5
1.4;9.3;10.7
1.9;10.5;12.4
6.2;18.4;24.6
22.8;24.2;47
46;27.2;73.2
29.8;22.7;52.5
16.6;18.4;35
6.3;12.2;18.5
3.7;11.2;14.9
7.9;20.3;28.2
7.8;22.3;30.1
6.7;18.8;25.4
5.5;19;24.5
8.2;21.3;29.5
5.9;24.6;30.5
6.6;27.6;34.1
18.3;37.2;55.6
22.8;34.4;57.2
28.6;37.5;66.1
19;32.3;51.3
17.8;27.6;45.3
31.2;29.6;60.8
20;28.3;48.4
23.7;30.1;53.8
30.1;30.4;60.5
10.9;25;35.9
30.1;25;55.1
56.5;26.4;82.9
58.3;32;90.3
62.8;37.6;100.4
34.8;37.5;72.3
18.5;26.4;44.9
7.7;17;24.7
3;6.4;9.5
2.8;9.2;12
4.9;18.8;23.7
5.3;16.1;21.4
5.8;16.2;21.9
5.6;23.9;29.5
10.1;28.7;38.9
6.2;26.6;32.7
13.7;37.1;50.9
24.8;40.1;64.9
37.6;41.2;78.7
20.3;40.2;60.5
11;33.6;44.6
10.5;25.2;35.7
9.7;20.9;30.6
16.4;27;43.5
19;23.4;42.5
68.9;27.1;96
118;32.6;150.6
97.2;42.2;139.3
28.3;29.3;57.7
16.7;29.3;46
7.5;21.1;28.6
4.5;9.9;14.4
5.7;14.1;19.8
6.8;23.7;30.5
9;17.1;26.1
5.6;20;25.5
6.3;23.7;30
8.9;28.6;37.5
9.5;28.3;37.8
9.3;27.8;37.1
5.2;21.6;26.8
3.7;19.2;22.9
7.7;23.7;31.3
15.6;29.4;45.1
22.1;28.1;50.2
12.1;25.4;37.4
1.7;22.1;23.8
3.8;24;27.8
30.1;28.3;58.4
45.1;26.7;71.7
70.8;30;100.8
